text,label,word_count,cleaned_text,tokens,token_count
Lithium Consolidated : AGM Voting Clarification #LithiumConsolidated #Stock #MarketScreener https://t.co/p7a4RAogT6 https://t.co/qru0JbYXod,2,11,lithium consolidated agm voting clarification lithiumconsolidated stock marketscreener,"['lithium', 'consolidated', 'agm', 'voting', 'clarification', 'lithiumconsolidated', 'stock', 'marketscreener']",8
"No, Boeing Isn’t Ruining Trump's 3% Growth Target",2,8,"no, boeing isn t ruining trump's 3% growth target","['no', 'boeing', 'isn', 't', 'ruining', ""trump's"", '3%', 'growth', 'target']",9
"Dürr : Dietmar Heinrich becomes new Chief Financial Officer of Dürr AG, Dr. Jochen Weyrauc... #Dürr #Stock… https://t.co/bYVt41t7wX",2,18,"d rr dietmar heinrich becomes new chief financial officer of d rr ag, dr. jochen weyrauc... d rr stock","['d', 'rr', 'dietmar', 'heinrich', 'becomes', 'new', 'chief', 'financial', 'officer', 'of', 'd', 'rr', 'ag', 'dr', 'jochen', 'weyrauc', 'd', 'rr', 'stock']",19
Rio Tinto’s Giant Mongolia Project Dealt Another Blow,2,8,rio tinto s giant mongolia project dealt another blow,"['rio', 'tinto', 's', 'giant', 'mongolia', 'project', 'dealt', 'another', 'blow']",9
Children's Place downgraded as e-commerce puts margins at risk,0,9,children's place downgraded as e-commerce puts margins at risk,"[""children's"", 'place', 'downgraded', 'as', 'e-commerce', 'puts', 'margins', 'at', 'risk']",9
2 Best Cannabis Stocks to Buy in February,2,8,2 best cannabis stocks to buy in february,"['2', 'best', 'cannabis', 'stocks', 'to', 'buy', 'in', 'february']",8
"NY Fed Offers First Year-End Repo, Adds $93.5 Bln in Cash Banks Seek Liquidity
https://t.co/twaYHd2PDZ
@mdbaccardax",2,16,"ny fed offers first year-end repo, adds $93.5 bln in cash banks seek liquidity","['ny', 'fed', 'offers', 'first', 'year-end', 'repo', 'adds', '$93.5', 'bln', 'in', 'cash', 'banks', 'seek', 'liquidity']",14
Six Flags raises quarterly dividend by a penny to 83 cents a share,1,13,six flags raises quarterly dividend by a penny to 83 cents a share,"['six', 'flags', 'raises', 'quarterly', 'dividend', 'by', 'a', 'penny', 'to', '83', 'cents', 'a', 'share']",13
"As of 11pm tonight, Britain will have left the EU. Read this by @robertshrimsley from the FT archives: Brexit's 'do... https://t.co/pZE7vpI0DI",2,21,"as of 11pm tonight, britain will have left the eu. read this by from the ft archives brexit's 'do...","['as', 'of', '11pm', 'tonight', 'britain', 'will', 'have', 'left', 'the', 'eu', 'read', 'this', 'by', 'from', 'the', 'ft', 'archives', ""brexit's"", ""'do""]",19
Executives at SoftBank are looking for a way to reduce the size of a $3 billion offer for WeWork stock as part of i… https://t.co/4kqz2W0yhz,2,25,executives at softbank are looking for a way to reduce the size of a $3 billion offer for wework stock as part of i,"['executives', 'at', 'softbank', 'are', 'looking', 'for', 'a', 'way', 'to', 'reduce', 'the', 'size', 'of', 'a', '$3', 'billion', 'offer', 'for', 'wework', 'stock', 'as', 'part', 'of', 'i']",24
Vans parent VF Corp. says China stores still open have seen 'significant' declines in retail traffic,0,16,vans parent vf corp. says china stores still open have seen 'significant' declines in retail traffic,"['vans', 'parent', 'vf', 'corp', 'says', 'china', 'stores', 'still', 'open', 'have', 'seen', ""'significant'"", 'declines', 'in', 'retail', 'traffic']",16
Corbus Pharma completes patient enrollment in mid-stage lenabasum study for CF,2,11,corbus pharma completes patient enrollment in mid-stage lenabasum study for cf,"['corbus', 'pharma', 'completes', 'patient', 'enrollment', 'in', 'mid-stage', 'lenabasum', 'study', 'for', 'cf']",11
Russia's key oil producers voiced support for extending OPEC+ output cuts into the second quarter https://t.co/SnCimY5rl9,2,16,russia's key oil producers voiced support for extending opec output cuts into the second quarter,"[""russia's"", 'key', 'oil', 'producers', 'voiced', 'support', 'for', 'extending', 'opec', 'output', 'cuts', 'into', 'the', 'second', 'quarter']",15
Stock Market Update: Boeing turns positive,1,6,stock market update boeing turns positive,"['stock', 'market', 'update', 'boeing', 'turns', 'positive']",6
"Mediaset set to win more time to complete merger of Italy, Spain units: sources",2,14,"mediaset set to win more time to complete merger of italy, spain units sources","['mediaset', 'set', 'to', 'win', 'more', 'time', 'to', 'complete', 'merger', 'of', 'italy', 'spain', 'units', 'sources']",14
Fed Liquidity Drain Spoils Virus-Surge-Inspired Stock Buying-Panic | Zero Hedge https://t.co/wnLxXP4sHu,0,11,fed liquidity drain spoils virus-surge-inspired stock buying-panic zero hedge,"['fed', 'liquidity', 'drain', 'spoils', 'virus-surge-inspired', 'stock', 'buying-panic', 'zero', 'hedge']",9
FAA may overhaul plane-certification process,2,5,faa may overhaul plane-certification process,"['faa', 'may', 'overhaul', 'plane-certification', 'process']",5
Stocks grab another round of records as Wall Street parses trade news,1,12,stocks grab another round of records as wall street parses trade news,"['stocks', 'grab', 'another', 'round', 'of', 'records', 'as', 'wall', 'street', 'parses', 'trade', 'news']",12
Lowe's shares jump after earnings top estimates despite revenue shortfall,1,10,lowe's shares jump after earnings top estimates despite revenue shortfall,"[""lowe's"", 'shares', 'jump', 'after', 'earnings', 'top', 'estimates', 'despite', 'revenue', 'shortfall']",10
$FLOW $APO - SPX Flow confirms deal to sell part of power and energy unit to Apollo Global https://t.co/5BJSd7mGqM,2,19,$FLOW $APO - spx flow confirms deal to sell part of power and energy unit to apollo global,"['$FLOW', '$APO', '-', 'spx', 'flow', 'confirms', 'deal', 'to', 'sell', 'part', 'of', 'power', 'and', 'energy', 'unit', 'to', 'apollo', 'global']",18
The Medicines Company up 26% premarket on rumored Novartis interest,1,10,the medicines company up 26% premarket on rumored novartis interest,"['the', 'medicines', 'company', 'up', '26%', 'premarket', 'on', 'rumored', 'novartis', 'interest']",10
$XOM - Exxon Mobil: Don't Chase The Wrong Yield. Read more and get updates on any stock! https://t.co/5t0odNL18G… https://t.co/BSooVtJ17J,2,19,$XOM - exxon mobil don't chase the wrong yield. read more and get updates on any stock,"['$XOM', '-', 'exxon', 'mobil', ""don't"", 'chase', 'the', 'wrong', 'yield', 'read', 'more', 'and', 'get', 'updates', 'on', 'any', 'stock']",17
Canadian consumers filed the largest number of insolvencies in almost a decade at the end of last year https://t.co/ge8vHcmvBX,0,19,canadian consumers filed the largest number of insolvencies in almost a decade at the end of last year,"['canadian', 'consumers', 'filed', 'the', 'largest', 'number', 'of', 'insolvencies', 'in', 'almost', 'a', 'decade', 'at', 'the', 'end', 'of', 'last', 'year']",18
.@WorldBank Group asks #G20 leaders to suspend debt repayments from poorest countries. This will help focus critica… https://t.co/VMcZWh4sop,2,18,. group asks g20 leaders to suspend debt repayments from poorest countries. this will help focus critica,"['group', 'asks', 'g20', 'leaders', 'to', 'suspend', 'debt', 'repayments', 'from', 'poorest', 'countries', 'this', 'will', 'help', 'focus', 'critica']",16
"Owens Corning Upgraded On Strong Insulation, Roofing Potential",1,8,"owens corning upgraded on strong insulation, roofing potential","['owens', 'corning', 'upgraded', 'on', 'strong', 'insulation', 'roofing', 'potential']",8
"Stock Market Live Updates: S&P 500, Nasdaq, Dow post record closing highs - Yahoo Finance",1,15,"stock market live updates s p 500, nasdaq, dow post record closing highs - yahoo finance","['stock', 'market', 'live', 'updates', 's', 'p', '500', 'nasdaq', 'dow', 'post', 'record', 'closing', 'highs', '-', 'yahoo', 'finance']",16
Equinox Wins Silver Lake Funds to Help Take Aim at Peloton,2,11,equinox wins silver lake funds to help take aim at peloton,"['equinox', 'wins', 'silver', 'lake', 'funds', 'to', 'help', 'take', 'aim', 'at', 'peloton']",11
"Severe Thunderstorms, Snowstorms To Begin Messy Weather Week Across US",2,10,"severe thunderstorms, snowstorms to begin messy weather week across us","['severe', 'thunderstorms', 'snowstorms', 'to', 'begin', 'messy', 'weather', 'week', 'across', 'us']",10
Comeback Year Gets Even Better for Tiger Woods,2,8,comeback year gets even better for tiger woods,"['comeback', 'year', 'gets', 'even', 'better', 'for', 'tiger', 'woods']",8
"Highlight: @tom_belger on London banning Uber: ""Uber's vowing already to appeal this decision to cut it out of one… https://t.co/JpJQqGwBhX",2,20,highlight on london banning uber uber's vowing already to appeal this decision to cut it out of one,"['highlight', 'on', 'london', 'banning', 'uber', ""uber's"", 'vowing', 'already', 'to', 'appeal', 'this', 'decision', 'to', 'cut', 'it', 'out', 'of', 'one']",18
Edited Transcript of MSG earnings conference call or presentation 8-Nov-19 3:00pm GMT,2,12,edited transcript of msg earnings conference call or presentation 8-nov-19 3 00pm gmt,"['edited', 'transcript', 'of', 'msg', 'earnings', 'conference', 'call', 'or', 'presentation', '8-nov-19', '3', '00pm', 'gmt']",13
"Highlight: @adrianambells explains eminent domain: The government, ""if they have just cause, can seize your private… https://t.co/p5mkoRIYQV",2,17,"highlight explains eminent domain the government, if they have just cause, can seize your private","['highlight', 'explains', 'eminent', 'domain', 'the', 'government', 'if', 'they', 'have', 'just', 'cause', 'can', 'seize', 'your', 'private']",15
It's rate decision day in Israel – here's what to expect https://t.co/FE4SB0Q1fQ https://t.co/6aRqBv5rZl,2,13,it's rate decision day in israel here's what to expect,"[""it's"", 'rate', 'decision', 'day', 'in', 'israel', ""here's"", 'what', 'to', 'expect']",10
The Nasdaq Could Be In Trouble Before 2019 Is Out. Read more and sign up for updates: https://t.co/rfYVcCfma3… https://t.co/HTcvorUn8n,2,19,the nasdaq could be in trouble before 2019 is out. read more and sign up for updates,"['the', 'nasdaq', 'could', 'be', 'in', 'trouble', 'before', '2019', 'is', 'out', 'read', 'more', 'and', 'sign', 'up', 'for', 'updates']",17
February consumer credit up 6.4%; revolving credit up 4.6%; nonrevolving credit up 7.0% (SAAR): https://t.co/Zujt3BSrcT,2,15,february consumer credit up 6.4% revolving credit up 4.6% nonrevolving credit up 7.0% saar,"['february', 'consumer', 'credit', 'up', '6.4%', 'revolving', 'credit', 'up', '4.6%', 'nonrevolving', 'credit', 'up', '7.0%', 'saar']",14
$ENDV - Endonovo up 35% on SofPulse collaboration https://t.co/rawjiFBbti,1,9,$ENDV - endonovo up 35% on sofpulse collaboration,"['$ENDV', '-', 'endonovo', 'up', '35%', 'on', 'sofpulse', 'collaboration']",8
Biggest challenges CEO Bob Iger could face in 2020,2,9,biggest challenges ceo bob iger could face in 2020,"['biggest', 'challenges', 'ceo', 'bob', 'iger', 'could', 'face', 'in', '2020']",9
Stock Exchange: Losing Money On A Good Trade - Seeking Alpha,2,11,stock exchange losing money on a good trade - seeking alpha,"['stock', 'exchange', 'losing', 'money', 'on', 'a', 'good', 'trade', '-', 'seeking', 'alpha']",11
Coronavirus is 'not an excuse'-real estate CEO says those who can should pay their rent https://t.co/Ovk8uTCcmk,2,16,coronavirus is 'not an excuse'- real estate ceo says those who can should pay their rent,"['coronavirus', 'is', ""'not"", 'an', ""excuse'-"", 'real', 'estate', 'ceo', 'says', 'those', 'who', 'can', 'should', 'pay', 'their', 'rent']",16
"""I am happy with him, I really think he's caught up,"" Trump said of Fed Chair Jerome Powell at the White House… https://t.co/8jASKLBath",2,23,"i am happy with him, i really think he's caught up, trump said of fed chair jerome powell at the white house","['i', 'am', 'happy', 'with', 'him', 'i', 'really', 'think', ""he's"", 'caught', 'up', 'trump', 'said', 'of', 'fed', 'chair', 'jerome', 'powell', 'at', 'the', 'white', 'house']",22
Financials Up On Signs Of Credit-Market Stability -- Financials Roundup #economy #MarketScreener… https://t.co/gSprQTSbKh,1,13,financials up on signs of credit-market stability -- financials roundup economy marketscreener,"['financials', 'up', 'on', 'signs', 'of', 'credit-market', 'stability', '--', 'financials', 'roundup', 'economy', 'marketscreener']",12
New lawsuit seeks to pin blame for 737 MAX on Boeing's board,0,12,new lawsuit seeks to pin blame for 737 max on boeing's board,"['new', 'lawsuit', 'seeks', 'to', 'pin', 'blame', 'for', '737', 'max', 'on', ""boeing's"", 'board']",12
Mackinac Financial declares $0.14 dividend,2,5,mackinac financial declares $0.14 dividend,"['mackinac', 'financial', 'declares', '$0.14', 'dividend']",5
Hedge Funds Have Never Been This Bullish On First Financial Bankshares Inc (FFIN),1,13,hedge funds have never been this bullish on first financial bankshares inc ffin,"['hedge', 'funds', 'have', 'never', 'been', 'this', 'bullish', 'on', 'first', 'financial', 'bankshares', 'inc', 'ffin']",13
"$PE $PXD - Parsley willing to cut oil production 20% if deal reached, CEO says https://t.co/ovttr0X0d0",2,16,"$PE $PXD - parsley willing to cut oil production 20% if deal reached, ceo says","['$PE', '$PXD', '-', 'parsley', 'willing', 'to', 'cut', 'oil', 'production', '20%', 'if', 'deal', 'reached', 'ceo', 'says']",15
"Tesla's stock fall premarket; RBC reiterates bearish view, but warns not to short",0,13,"tesla's stock fall premarket rbc reiterates bearish view, but warns not to short","[""tesla's"", 'stock', 'fall', 'premarket', 'rbc', 'reiterates', 'bearish', 'view', 'but', 'warns', 'not', 'to', 'short']",13
Amazon’s Cloud Battle With Microsoft Weighs on AMZN Stock,0,9,amazon s cloud battle with microsoft weighs on amzn stock,"['amazon', 's', 'cloud', 'battle', 'with', 'microsoft', 'weighs', 'on', 'amzn', 'stock']",10
$PYPL - PayPal's Stock May Be Heading For A Year-End Rally. Get more updates here: https://t.co/sCypU862qM #trading #business #economy,1,19,$PYPL - paypal's stock may be heading for a year-end rally. get more updates here trading business economy,"['$PYPL', '-', ""paypal's"", 'stock', 'may', 'be', 'heading', 'for', 'a', 'year-end', 'rally', 'get', 'more', 'updates', 'here', 'trading', 'business', 'economy']",18
"Trump says he talked about interest rates, dollar strength with Powell",2,11,"trump says he talked about interest rates, dollar strength with powell","['trump', 'says', 'he', 'talked', 'about', 'interest', 'rates', 'dollar', 'strength', 'with', 'powell']",11
$AEL: American Equity Investment Life increases annual cash dividend to $0.30/share from $0.28/share https://t.co/xXAcIhgee4,1,14,$AEL american equity investment life increases annual cash dividend to $0.30 share from $0.28 share,"['$AEL', 'american', 'equity', 'investment', 'life', 'increases', 'annual', 'cash', 'dividend', 'to', '$0.30', 'share', 'from', '$0.28', 'share']",15
FMCSA Increases Random Drug Testing Rate To 50%,2,8,fmcsa increases random drug testing rate to 50%,"['fmcsa', 'increases', 'random', 'drug', 'testing', 'rate', 'to', '50%']",8
Does Your Goal Setting Have 2020 Vision?,2,7,does your goal setting have 2020 vision,"['does', 'your', 'goal', 'setting', 'have', '2020', 'vision']",7
LivePerson started at neutral with $40 stock price target at J.P. Morgan,2,12,liveperson started at neutral with $40 stock price target at j.p. morgan,"['liveperson', 'started', 'at', 'neutral', 'with', '$40', 'stock', 'price', 'target', 'at', 'j.p', 'morgan']",12
��🌍🌏Wind speeds are up globally. That's good news for renewable energy https://t.co/5HlsbJMYBR,2,12,wind speeds are up globally. that's good news for renewable energy,"['wind', 'speeds', 'are', 'up', 'globally', ""that's"", 'good', 'news', 'for', 'renewable', 'energy']",11
"Energy stocks might be due for a rebound, but a set of conundrums make the sector's potential a tricky question https://t.co/3QZ7LUB3sj",1,21,"energy stocks might be due for a rebound, but a set of conundrums make the sector's potential a tricky question","['energy', 'stocks', 'might', 'be', 'due', 'for', 'a', 'rebound', 'but', 'a', 'set', 'of', 'conundrums', 'make', 'the', ""sector's"", 'potential', 'a', 'tricky', 'question']",20
Gas explosion in apartment building in Slovakia has killed at least 5 people Friday. https://t.co/HDDvoPybZ0 https://t.co/Q4OMkXB5JD,2,16,gas explosion in apartment building in slovakia has killed at least 5 people friday.,"['gas', 'explosion', 'in', 'apartment', 'building', 'in', 'slovakia', 'has', 'killed', 'at', 'least', '5', 'people', 'friday']",14
Babe Ruth's 500th Home Run Bat Sells for More Than $1 Million,2,12,babe ruth's 500th home run bat sells for more than $1 million,"['babe', ""ruth's"", '500th', 'home', 'run', 'bat', 'sells', 'for', 'more', 'than', '$1', 'million']",12
"Hedge Funds Have Never Been This Bullish On HTG Molecular Diagnostics, Inc. (HTGM)",1,13,"hedge funds have never been this bullish on htg molecular diagnostics, inc. htgm","['hedge', 'funds', 'have', 'never', 'been', 'this', 'bullish', 'on', 'htg', 'molecular', 'diagnostics', 'inc', 'htgm']",13
"April gold falls 0.3% at $1,565.60/oz.",0,6,"april gold falls 0.3% at $1,565.60 oz.","['april', 'gold', 'falls', '0.3%', 'at', '$1,565.60', 'oz']",7
"Nat gas prices plunge on milder weather, ample supplies",0,9,"nat gas prices plunge on milder weather, ample supplies","['nat', 'gas', 'prices', 'plunge', 'on', 'milder', 'weather', 'ample', 'supplies']",9
"Artificial intelligence has made great strides in analyzing financial data. While the opportunities are incredible,… https://t.co/QYeRTOamfj",2,16,"artificial intelligence has made great strides in analyzing financial data. while the opportunities are incredible,","['artificial', 'intelligence', 'has', 'made', 'great', 'strides', 'in', 'analyzing', 'financial', 'data', 'while', 'the', 'opportunities', 'are', 'incredible']",15
$QQQ - How To Benefit From Trend And Momentum In QQQ. Read more: https://t.co/JqeL4Gl9Xd #investing #markets #finance,2,17,$QQQ - how to benefit from trend and momentum in qqq. read more investing markets finance,"['$QQQ', '-', 'how', 'to', 'benefit', 'from', 'trend', 'and', 'momentum', 'in', 'qqq', 'read', 'more', 'investing', 'markets', 'finance']",16
Franc’s Ascent Versus Struggling Euro Shows Few Signs of Fading,0,10,franc s ascent versus struggling euro shows few signs of fading,"['franc', 's', 'ascent', 'versus', 'struggling', 'euro', 'shows', 'few', 'signs', 'of', 'fading']",11
Trump praises Powell as he says Fed chief has more 'arrows' in quiver https://t.co/rSqusNXnaF,2,14,trump praises powell as he says fed chief has more 'arrows' in quiver,"['trump', 'praises', 'powell', 'as', 'he', 'says', 'fed', 'chief', 'has', 'more', ""'arrows'"", 'in', 'quiver']",13
Komileva: Central Banks Far from Normalizing,2,6,komileva central banks far from normalizing,"['komileva', 'central', 'banks', 'far', 'from', 'normalizing']",6
Cordy Oilfield Services reports Q3 results,2,6,cordy oilfield services reports q3 results,"['cordy', 'oilfield', 'services', 'reports', 'q3', 'results']",6
Pablo Escobar's brother is selling foldable phones: https://t.co/EOFNyHaDqw,2,8,pablo escobar's brother is selling foldable phones,"['pablo', ""escobar's"", 'brother', 'is', 'selling', 'foldable', 'phones']",7
"$YGYI non stop , unreal +250% ...... eyes on $CPHI another China play",1,13,"$YGYI non stop , unreal 250% ...... eyes on $CPHI another china play","['$YGYI', 'non', 'stop', 'unreal', '250%', 'eyes', 'on', '$CPHI', 'another', 'china', 'play']",11
$XOM - Exxon Beaumont cuts run rates until product demand improves https://t.co/hOE7FBC87Y,2,12,$XOM - exxon beaumont cuts run rates until product demand improves,"['$XOM', '-', 'exxon', 'beaumont', 'cuts', 'run', 'rates', 'until', 'product', 'demand', 'improves']",11
General Motors' Q4 Profit Beat Estimates Despite Huge Strike Costs,1,10,general motors' q4 profit beat estimates despite huge strike costs,"['general', ""motors'"", 'q4', 'profit', 'beat', 'estimates', 'despite', 'huge', 'strike', 'costs']",10
"It's okay Greg, your insurance will cover it.",2,8,"it's okay greg, your insurance will cover it.","[""it's"", 'okay', 'greg', 'your', 'insurance', 'will', 'cover', 'it']",8
Correction to Warning Signs for Companies Article -- Journal Report #economy #MarketScreener https://t.co/L8L5wiQgFg https://t.co/GwSqsePuC1,2,14,correction to warning signs for companies article -- journal report economy marketscreener,"['correction', 'to', 'warning', 'signs', 'for', 'companies', 'article', '--', 'journal', 'report', 'economy', 'marketscreener']",12
"Hedge Funds Are Crazy About Heidrick & Struggles International, Inc. (HSII)",1,11,"hedge funds are crazy about heidrick struggles international, inc. hsii","['hedge', 'funds', 'are', 'crazy', 'about', 'heidrick', 'struggles', 'international', 'inc', 'hsii']",10
Cameco on the move after Q4 earnings topper,2,8,cameco on the move after q4 earnings topper,"['cameco', 'on', 'the', 'move', 'after', 'q4', 'earnings', 'topper']",8
Shale's Debt-Fueled Drilling Boom Is Coming To An End https://t.co/aCnoTpFlvt,0,10,shale's debt-fueled drilling boom is coming to an end,"[""shale's"", 'debt-fueled', 'drilling', 'boom', 'is', 'coming', 'to', 'an', 'end']",9
LAIX beats on revenue,1,4,laix beats on revenue,"['laix', 'beats', 'on', 'revenue']",4
"What Can We Make Of Paychex, Inc.’s (NASDAQ:PAYX) High Return On Capital?",2,12,"what can we make of paychex, inc. s nasdaq payx high return on capital","['what', 'can', 'we', 'make', 'of', 'paychex', 'inc', 's', 'nasdaq', 'payx', 'high', 'return', 'on', 'capital']",14
"At dinner, man in a wheelchair had to be over 100 yrs old, seemed pretty down / out of it, but soon as his daughter… https://t.co/Up62ZHsOWI",2,26,"at dinner, man in a wheelchair had to be over 100 yrs old, seemed pretty down out of it, but soon as his daughter","['at', 'dinner', 'man', 'in', 'a', 'wheelchair', 'had', 'to', 'be', 'over', '100', 'yrs', 'old', 'seemed', 'pretty', 'down', 'out', 'of', 'it', 'but', 'soon', 'as', 'his', 'daughter']",24
"$PCYG - Park City Group EPS misses by $0.01, misses on revenue https://t.co/TEeqc9vO62",0,13,"$PCYG - park city group eps misses by $0.01, misses on revenue","['$PCYG', '-', 'park', 'city', 'group', 'eps', 'misses', 'by', '$0.01', 'misses', 'on', 'revenue']",12
Mesa Air reiterated as outperform at Cowen,1,7,mesa air reiterated as outperform at cowen,"['mesa', 'air', 'reiterated', 'as', 'outperform', 'at', 'cowen']",7
Canada's use of Huawei 5G would hamper its access to U.S. intelligence: U.S. official https://t.co/kp1APtEXNl https://t.co/Ey5XsaQ1l6,2,16,canada's use of huawei 5g would hamper its access to u.s. intelligence u.s. official,"[""canada's"", 'use', 'of', 'huawei', '5g', 'would', 'hamper', 'its', 'access', 'to', 'u.s', 'intelligence', 'u.s', 'official']",14
$QTT - Qutoutiao slides after short-seller report https://t.co/x2eEzFyy2Y,0,8,$QTT - qutoutiao slides after short-seller report,"['$QTT', '-', 'qutoutiao', 'slides', 'after', 'short-seller', 'report']",7
Macy's Q3 adj. EPS 7 cents; FactSet consensus breakeven,1,9,macy's q3 adj. eps 7 cents factset consensus breakeven,"[""macy's"", 'q3', 'adj', 'eps', '7', 'cents', 'factset', 'consensus', 'breakeven']",9
$ORLY strong up 11.7% into large volume pocket w/ room to $360,1,12,$ORLY strong up 11.7% into large volume pocket w room to $360,"['$ORLY', 'strong', 'up', '11.7%', 'into', 'large', 'volume', 'pocket', 'w', 'room', 'to', '$360']",12
$APDN Patience is key. Good news + strong accumulation. Let the weak hands sell.,1,14,$APDN patience is key. good news strong accumulation. let the weak hands sell.,"['$APDN', 'patience', 'is', 'key', 'good', 'news', 'strong', 'accumulation', 'let', 'the', 'weak', 'hands', 'sell']",13
Is It Too Late To Consider Buying Atlantic Power Corporation (TSE:ATP)?,2,11,is it too late to consider buying atlantic power corporation tse atp,"['is', 'it', 'too', 'late', 'to', 'consider', 'buying', 'atlantic', 'power', 'corporation', 'tse', 'atp']",12
$EGRX - Eagle Pharma set to refile Ryanodex NDA; shares ahead 5% https://t.co/7mTlIJa4w1,1,13,$EGRX - eagle pharma set to refile ryanodex nda shares ahead 5%,"['$EGRX', '-', 'eagle', 'pharma', 'set', 'to', 'refile', 'ryanodex', 'nda', 'shares', 'ahead', '5%']",12
"The outlook for Finland's economy has dramatically worsened due to the coronavirus outbreak, with the country's cen… https://t.co/RZBkoqrsm0",0,18,"the outlook for finland's economy has dramatically worsened due to the coronavirus outbreak, with the country's cen","['the', 'outlook', 'for', ""finland's"", 'economy', 'has', 'dramatically', 'worsened', 'due', 'to', 'the', 'coronavirus', 'outbreak', 'with', 'the', ""country's"", 'cen']",17
"Yes, and I like a bit on oysters with a little cocktail sauce.",2,13,"yes, and i like a bit on oysters with a little cocktail sauce.","['yes', 'and', 'i', 'like', 'a', 'bit', 'on', 'oysters', 'with', 'a', 'little', 'cocktail', 'sauce']",13
