text,label,word_count,cleaned_text,tokens,token_count,predicted,correct,predicted_name,actual_name
Exxon Mobil : Found Not Guilty of Fraud in Climate-Change Accounting Case #ExxonMobil #Stock #MarketScreener… https://t.co/BAAL3ZX7Af,1,16,exxon mobil found not guilty of fraud in climate-change accounting case exxonmobil stock marketscreener,"['exxon', 'mobil', 'found', 'not', 'guilty', 'of', 'fraud', 'in', 'climate-change', 'accounting', 'case', 'exxonmobil', 'stock', 'marketscreener']",14,2,False,Neutral,Bullish
Direct Lenders Stay in Vogue as Fundraising Tops $23 Billion,2,10,direct lenders stay in vogue as fundraising tops $23 billion,"['direct', 'lenders', 'stay', 'in', 'vogue', 'as', 'fundraising', 'tops', '$23', 'billion']",10,0,False,Bearish,Neutral
$OPGN what a call  !!!!!!!! Sweeeeeeeeeetttttt,1,6,$OPGN what a call sweeeeeeeeeetttttt,"['$OPGN', 'what', 'a', 'call', 'sweeeeeeeeeetttttt']",5,2,False,Neutral,Bullish
"Energy has gone nowhere in the past decade, and it could get worse before it gets better https://t.co/PSDVJKnQ3B",0,18,"energy has gone nowhere in the past decade, and it could get worse before it gets better","['energy', 'has', 'gone', 'nowhere', 'in', 'the', 'past', 'decade', 'and', 'it', 'could', 'get', 'worse', 'before', 'it', 'gets', 'better']",17,2,False,Neutral,Bearish
$LSCC - Lattice Semiconductor Delivering Early On Several Key Promises. Continue reading: https://t.co/PRfw240aHF… https://t.co/cycgxtrJLm,1,14,$LSCC - lattice semiconductor delivering early on several key promises. continue reading,"['$LSCC', '-', 'lattice', 'semiconductor', 'delivering', 'early', 'on', 'several', 'key', 'promises', 'continue', 'reading']",12,2,False,Neutral,Bullish
"On this day in 1893 the trademark ""Coca-Cola"" was registered in the United States Patent Office.",2,16,on this day in 1893 the trademark coca-cola was registered in the united states patent office.,"['on', 'this', 'day', 'in', '1893', 'the', 'trademark', 'coca-cola', 'was', 'registered', 'in', 'the', 'united', 'states', 'patent', 'office']",16,1,False,Bullish,Neutral
Highlight: “There’s going to be a bloodbath in terms of synergy savings and retrenchment…” @InvescoUS's… https://t.co/YPgyDW3rMX,0,16,highlight there s going to be a bloodbath in terms of synergy savings and retrenchment 's,"['highlight', 'there', 's', 'going', 'to', 'be', 'a', 'bloodbath', 'in', 'terms', 'of', 'synergy', 'savings', 'and', 'retrenchment', ""'s""]",16,2,False,Neutral,Bearish
"Sanofi EPS beats by €0.06, misses on revenue",2,8,"sanofi eps beats by 0.06, misses on revenue","['sanofi', 'eps', 'beats', 'by', '0.06', 'misses', 'on', 'revenue']",8,1,False,Bullish,Neutral
EU Trade Commissioner Phil Hogan says a political agreement on the shape of a new trading relationship with the U.K… https://t.co/TrAWPGQl0L,1,21,eu trade commissioner phil hogan says a political agreement on the shape of a new trading relationship with the u.k,"['eu', 'trade', 'commissioner', 'phil', 'hogan', 'says', 'a', 'political', 'agreement', 'on', 'the', 'shape', 'of', 'a', 'new', 'trading', 'relationship', 'with', 'the', 'u.k']",20,2,False,Neutral,Bullish
"The coronavirus will create an ""unprecedented decline in economic activity"" in emerging markets, says Alessandro Re… https://t.co/cgkMbpz6mU",0,17,"the coronavirus will create an unprecedented decline in economic activity in emerging markets, says alessandro re","['the', 'coronavirus', 'will', 'create', 'an', 'unprecedented', 'decline', 'in', 'economic', 'activity', 'in', 'emerging', 'markets', 'says', 'alessandro', 're']",16,2,False,Neutral,Bearish
"$TMUS $S - Texas AG settles with T-Mobile, Sprint https://t.co/Beup6Aqvqv",1,10,"$TMUS $S - texas ag settles with t-mobile, sprint","['$TMUS', '$S', '-', 'texas', 'ag', 'settles', 'with', 't-mobile', 'sprint']",9,2,False,Neutral,Bullish
$LQD - A History Of IG Credit Spreads Suggests Opportunity. https://t.co/AdkNzNC1Y3 #investing #finance #business,1,14,$LQD - a history of ig credit spreads suggests opportunity. investing finance business,"['$LQD', '-', 'a', 'history', 'of', 'ig', 'credit', 'spreads', 'suggests', 'opportunity', 'investing', 'finance', 'business']",13,2,False,Neutral,Bullish
Kremlin says efforts to persuade Mexico to join oil cuts deal persist - TASS https://t.co/y1cgLM7HAe https://t.co/mijGuCKi8S,2,16,kremlin says efforts to persuade mexico to join oil cuts deal persist - tass,"['kremlin', 'says', 'efforts', 'to', 'persuade', 'mexico', 'to', 'join', 'oil', 'cuts', 'deal', 'persist', '-', 'tass']",14,0,False,Bearish,Neutral
California governor rejects $13.5 billion PG&E settlement,0,7,california governor rejects $13.5 billion pg e settlement,"['california', 'governor', 'rejects', '$13.5', 'billion', 'pg', 'e', 'settlement']",8,2,False,Neutral,Bearish
$DPW non stop !!!!! new HOD !!! Shorts are getting squeezed... hope to see the same on $INPX tomorrow,1,19,$DPW non stop new hod shorts are getting squeezed... hope to see the same on $INPX tomorrow,"['$DPW', 'non', 'stop', 'new', 'hod', 'shorts', 'are', 'getting', 'squeezed', 'hope', 'to', 'see', 'the', 'same', 'on', '$INPX', 'tomorrow']",17,2,False,Neutral,Bullish
Kodak Is Having a Comeback Moment as Oscars Embrace Film,1,10,kodak is having a comeback moment as oscars embrace film,"['kodak', 'is', 'having', 'a', 'comeback', 'moment', 'as', 'oscars', 'embrace', 'film']",10,0,False,Bearish,Bullish
JPMorgan under the microscope for metals spoofing,0,7,jpmorgan under the microscope for metals spoofing,"['jpmorgan', 'under', 'the', 'microscope', 'for', 'metals', 'spoofing']",7,2,False,Neutral,Bearish
Asian Shares Tumble as Trump Threatens Higher Tariffs,0,8,asian shares tumble as trump threatens higher tariffs,"['asian', 'shares', 'tumble', 'as', 'trump', 'threatens', 'higher', 'tariffs']",8,1,False,Bullish,Bearish
Vodafone Idea To Drop Brand ‘Idea’ From Postpaid Services,2,9,vodafone idea to drop brand idea from postpaid services,"['vodafone', 'idea', 'to', 'drop', 'brand', 'idea', 'from', 'postpaid', 'services']",9,0,False,Bearish,Neutral
Natural Gas Prices To Trade Sideways With Near-Term Weather Being Variable; Upside Potential Still On Table Longer… https://t.co/uM9WXN9x2M,2,18,natural gas prices to trade sideways with near-term weather being variable upside potential still on table longer,"['natural', 'gas', 'prices', 'to', 'trade', 'sideways', 'with', 'near-term', 'weather', 'being', 'variable', 'upside', 'potential', 'still', 'on', 'table', 'longer']",17,1,False,Bullish,Neutral
Cipla’s India Arm Will Show Market-Beating Growth In Next Few Quarters: CEO Vohra,1,13,cipla s india arm will show market-beating growth in next few quarters ceo vohra,"['cipla', 's', 'india', 'arm', 'will', 'show', 'market-beating', 'growth', 'in', 'next', 'few', 'quarters', 'ceo', 'vohra']",14,0,False,Bearish,Bullish
Virus Fallout Lays Bare Vulnerability of Persian Gulf Assets,2,9,virus fallout lays bare vulnerability of persian gulf assets,"['virus', 'fallout', 'lays', 'bare', 'vulnerability', 'of', 'persian', 'gulf', 'assets']",9,0,False,Bearish,Neutral
$SCANX: Earnings/guidance movers https://t.co/YrPxLxDd6q,2,4,$SCANX earnings guidance movers,"['$SCANX', 'earnings', 'guidance', 'movers']",4,1,False,Bullish,Neutral
"Despite its strong ties to geopolitical events, gold is still driven by supply and demand.  https://t.co/d5nKtsma4S",2,16,"despite its strong ties to geopolitical events, gold is still driven by supply and demand.","['despite', 'its', 'strong', 'ties', 'to', 'geopolitical', 'events', 'gold', 'is', 'still', 'driven', 'by', 'supply', 'and', 'demand']",15,1,False,Bullish,Neutral
"XFL Players Who Kneel During the Anthem Will Face ‘Consequences’, Commissioner Says",2,12,"xfl players who kneel during the anthem will face consequences , commissioner says","['xfl', 'players', 'who', 'kneel', 'during', 'the', 'anthem', 'will', 'face', 'consequences', 'commissioner', 'says']",12,0,False,Bearish,Neutral
$TALKX: Market Briefing https://t.co/qKadK8u9pa,2,4,$TALKX market briefing,"['$TALKX', 'market', 'briefing']",3,1,False,Bullish,Neutral
Uber ready to join FANG after earnings - RBC,2,9,uber ready to join fang after earnings - rbc,"['uber', 'ready', 'to', 'join', 'fang', 'after', 'earnings', '-', 'rbc']",9,1,False,Bullish,Neutral
"$SDRL - Seadrill: Another Debt Restructuring In The Making, But Don't Bet On Bankruptcy This Time. Read more and si… https://t.co/ggd501LE5q",0,21,"$SDRL - seadrill another debt restructuring in the making, but don't bet on bankruptcy this time. read more and si","['$SDRL', '-', 'seadrill', 'another', 'debt', 'restructuring', 'in', 'the', 'making', 'but', ""don't"", 'bet', 'on', 'bankruptcy', 'this', 'time', 'read', 'more', 'and', 'si']",20,2,False,Neutral,Bearish
Why Disney+ is the only service that can rival Netflix,1,10,why disney is the only service that can rival netflix,"['why', 'disney', 'is', 'the', 'only', 'service', 'that', 'can', 'rival', 'netflix']",10,2,False,Neutral,Bullish
DOJ preps legal action against Live Nation - WSJ,0,9,doj preps legal action against live nation - wsj,"['doj', 'preps', 'legal', 'action', 'against', 'live', 'nation', '-', 'wsj']",9,2,False,Neutral,Bearish
$KOS - Kosmos inks Greater Tortue LNG supply deal with BP https://t.co/0a3CT4hQP6,1,12,$KOS - kosmos inks greater tortue lng supply deal with bp,"['$KOS', '-', 'kosmos', 'inks', 'greater', 'tortue', 'lng', 'supply', 'deal', 'with', 'bp']",11,2,False,Neutral,Bullish
"Medical Properties Trust, Inc. Completes 2019 With Record $4.5 Billion in Acquisitions for 64% Growth Rate and Delivers Market-Leading Shareholder Returns",1,21,"medical properties trust, inc. completes 2019 with record $4.5 billion in acquisitions for 64% growth rate and delivers market-leading shareholder returns","['medical', 'properties', 'trust', 'inc', 'completes', '2019', 'with', 'record', '$4.5', 'billion', 'in', 'acquisitions', 'for', '64%', 'growth', 'rate', 'and', 'delivers', 'market-leading', 'shareholder', 'returns']",21,2,False,Neutral,Bullish
"Stocks, Bonds, & Dollar Stumble As Traders Reach 'Peak FOMO' https://t.co/P9454JXHmT",0,11,"stocks, bonds, dollar stumble as traders reach 'peak fomo'","['stocks', 'bonds', 'dollar', 'stumble', 'as', 'traders', 'reach', ""'peak"", ""fomo'""]",9,1,False,Bullish,Bearish
US Forces Attack Boats Caught Smuggling Oil To Syrian Government https://t.co/sNowxtNXpw,2,11,us forces attack boats caught smuggling oil to syrian government,"['us', 'forces', 'attack', 'boats', 'caught', 'smuggling', 'oil', 'to', 'syrian', 'government']",10,0,False,Bearish,Neutral
Rising Crude Inventories Fail To Halt Oil Rally,1,8,rising crude inventories fail to halt oil rally,"['rising', 'crude', 'inventories', 'fail', 'to', 'halt', 'oil', 'rally']",8,0,False,Bearish,Bullish
Royal Mail Labor Troubles Put Long-Term Targets in Jeopardy,0,9,royal mail labor troubles put long-term targets in jeopardy,"['royal', 'mail', 'labor', 'troubles', 'put', 'long-term', 'targets', 'in', 'jeopardy']",9,2,False,Neutral,Bearish
UPDATE 2-U.S. safety board wants Boeing to redesign 737 NG part after fatal Southwest accident,0,15,update 2-u.s. safety board wants boeing to redesign 737 ng part after fatal southwest accident,"['update', '2-u.s', 'safety', 'board', 'wants', 'boeing', 'to', 'redesign', '737', 'ng', 'part', 'after', 'fatal', 'southwest', 'accident']",15,2,False,Neutral,Bearish
CAB: Why Assam Is The Epicentre Of Protests Against New Citizenship  Law,2,12,cab why assam is the epicentre of protests against new citizenship law,"['cab', 'why', 'assam', 'is', 'the', 'epicentre', 'of', 'protests', 'against', 'new', 'citizenship', 'law']",12,0,False,Bearish,Neutral
9 Energy Stocks Moving In Monday's Pre-Market Session,2,8,9 energy stocks moving in monday's pre-market session,"['9', 'energy', 'stocks', 'moving', 'in', ""monday's"", 'pre-market', 'session']",8,1,False,Bullish,Neutral
Macy's Q3 EPS 1 cent vs. 20 cents,0,8,macy's q3 eps 1 cent vs. 20 cents,"[""macy's"", 'q3', 'eps', '1', 'cent', 'vs', '20', 'cents']",8,1,False,Bullish,Bearish
"""The big threat is not so much the number of outstanding cash-out refis as it is the total dollar amount — $3.1 tri… https://t.co/gk9Qd0ewhc",2,24,the big threat is not so much the number of outstanding cash-out refis as it is the total dollar amount $3.1 tri,"['the', 'big', 'threat', 'is', 'not', 'so', 'much', 'the', 'number', 'of', 'outstanding', 'cash-out', 'refis', 'as', 'it', 'is', 'the', 'total', 'dollar', 'amount', '$3.1', 'tri']",22,0,False,Bearish,Neutral
"Just when it seemed like things couldn't get worse for Tesla after the botched unveiling of its Cybertruck, the int… https://t.co/VwpJZ2lDpg",0,21,"just when it seemed like things couldn't get worse for tesla after the botched unveiling of its cybertruck, the int","['just', 'when', 'it', 'seemed', 'like', 'things', ""couldn't"", 'get', 'worse', 'for', 'tesla', 'after', 'the', 'botched', 'unveiling', 'of', 'its', 'cybertruck', 'the', 'int']",20,2,False,Neutral,Bearish
U.S. Justice Department preparing legal action against Live Nation: source,0,10,u.s. justice department preparing legal action against live nation source,"['u.s', 'justice', 'department', 'preparing', 'legal', 'action', 'against', 'live', 'nation', 'source']",10,2,False,Neutral,Bearish
"The U.K.'s Women's Equality Party says politicians are letting them down ahead of #generalelection2019.

We spoke t… https://t.co/BBCVp5XEzx",2,18,the u.k.'s women's equality party says politicians are letting them down ahead of generalelection2019. we spoke t,"['the', ""u.k.'s"", ""women's"", 'equality', 'party', 'says', 'politicians', 'are', 'letting', 'them', 'down', 'ahead', 'of', 'generalelection2019', 'we', 'spoke', 't']",17,0,False,Bearish,Neutral
Bristol-Myers Squibb now sees 2020 revenue $40.5 bln to $42.5 bln,2,11,bristol-myers squibb now sees 2020 revenue $40.5 bln to $42.5 bln,"['bristol-myers', 'squibb', 'now', 'sees', '2020', 'revenue', '$40.5', 'bln', 'to', '$42.5', 'bln']",11,1,False,Bullish,Neutral
Bombay High Court Grants Bail To Peter Mukerjea In Sheena Bora Murder Case,2,13,bombay high court grants bail to peter mukerjea in sheena bora murder case,"['bombay', 'high', 'court', 'grants', 'bail', 'to', 'peter', 'mukerjea', 'in', 'sheena', 'bora', 'murder', 'case']",13,1,False,Bullish,Neutral
"Since sports betting became legal in the US, the gaming industry has been on the hunt for American consumers. Tony... https://t.co/28tJdLCY3o",2,21,"since sports betting became legal in the us, the gaming industry has been on the hunt for american consumers. tony...","['since', 'sports', 'betting', 'became', 'legal', 'in', 'the', 'us', 'the', 'gaming', 'industry', 'has', 'been', 'on', 'the', 'hunt', 'for', 'american', 'consumers', 'tony']",20,1,False,Bullish,Neutral
Today's Free Feature: The Technical Take: Markets Lift Above Two-Day Ranges $INDU $SPX $COMPQ $IWM $IYT $TNX $UUP… https://t.co/3dON5JsZHP,1,19,today's free feature the technical take markets lift above two-day ranges $INDU $SPX $COMPQ $IWM $IYT $TNX $UUP,"[""today's"", 'free', 'feature', 'the', 'technical', 'take', 'markets', 'lift', 'above', 'two-day', 'ranges', '$INDU', '$SPX', '$COMPQ', '$IWM', '$IYT', '$TNX', '$UUP']",18,2,False,Neutral,Bullish
S&P 500 joins Dow in negative territory after setting fresh intraday records in early trading,0,15,s p 500 joins dow in negative territory after setting fresh intraday records in early trading,"['s', 'p', '500', 'joins', 'dow', 'in', 'negative', 'territory', 'after', 'setting', 'fresh', 'intraday', 'records', 'in', 'early', 'trading']",16,1,False,Bullish,Bearish
$WE $SFTBF $SFTBY - SoftBank will win WeWork bet - Bernstein https://t.co/za9Sqd9wk8,1,12,$WE $SFTBF $SFTBY - softbank will win wework bet - bernstein,"['$WE', '$SFTBF', '$SFTBY', '-', 'softbank', 'will', 'win', 'wework', 'bet', '-', 'bernstein']",11,2,False,Neutral,Bullish
J&J retests baby powder days after asbestos finding,2,8,j j retests baby powder days after asbestos finding,"['j', 'j', 'retests', 'baby', 'powder', 'days', 'after', 'asbestos', 'finding']",9,1,False,Bullish,Neutral
$SBUX - Starbucks Likely Range Bound After Inconclusive Q4 2019 Earnings. Sign up for updates on Seeking Alpha!… https://t.co/I9CAnlrces,0,19,$SBUX - starbucks likely range bound after inconclusive q4 2019 earnings. sign up for updates on seeking alpha,"['$SBUX', '-', 'starbucks', 'likely', 'range', 'bound', 'after', 'inconclusive', 'q4', '2019', 'earnings', 'sign', 'up', 'for', 'updates', 'on', 'seeking', 'alpha']",18,1,False,Bullish,Bearish
$PXGYF - PAX Global Technology: A No-Brainer Investment. Read more: https://t.co/K0St5t9tTc #business #markets #trading,1,14,$PXGYF - pax global technology a no-brainer investment. read more business markets trading,"['$PXGYF', '-', 'pax', 'global', 'technology', 'a', 'no-brainer', 'investment', 'read', 'more', 'business', 'markets', 'trading']",13,2,False,Neutral,Bullish
"Video game revenue is projected to reach $174,000,000,000 this year, according to IDC. But there’s an issue many de… https://t.co/A6zTb3fb4X",1,20,"video game revenue is projected to reach $174,000,000,000 this year, according to idc. but there s an issue many de","['video', 'game', 'revenue', 'is', 'projected', 'to', 'reach', '$174,000,000,000', 'this', 'year', 'according', 'to', 'idc', 'but', 'there', 's', 'an', 'issue', 'many', 'de']",20,2,False,Neutral,Bullish
Qualcomm provides three-year targets,2,4,qualcomm provides three-year targets,"['qualcomm', 'provides', 'three-year', 'targets']",4,0,False,Bearish,Neutral
Needham's Martin Defends Her Prediction That Netflix Subscriptions Will Fall,0,10,needham's martin defends her prediction that netflix subscriptions will fall,"[""needham's"", 'martin', 'defends', 'her', 'prediction', 'that', 'netflix', 'subscriptions', 'will', 'fall']",10,2,False,Neutral,Bearish
"Amazon com : seeks to depose Trump, Esper in lawsuit over cloud computing contract #Amazoncom #Stock… https://t.co/VV5RlkaAZd",2,17,"amazon com seeks to depose trump, esper in lawsuit over cloud computing contract amazoncom stock","['amazon', 'com', 'seeks', 'to', 'depose', 'trump', 'esper', 'in', 'lawsuit', 'over', 'cloud', 'computing', 'contract', 'amazoncom', 'stock']",15,0,False,Bearish,Neutral
U.S. housing market regaining steam; manufacturing stabilizing,1,7,u.s. housing market regaining steam manufacturing stabilizing,"['u.s', 'housing', 'market', 'regaining', 'steam', 'manufacturing', 'stabilizing']",7,0,False,Bearish,Bullish
Global shares cautious ahead of US jobs data report,2,9,global shares cautious ahead of us jobs data report,"['global', 'shares', 'cautious', 'ahead', 'of', 'us', 'jobs', 'data', 'report']",9,0,False,Bearish,Neutral
VirnetX +5% after appeals court denies Apple bid,1,8,virnetx 5% after appeals court denies apple bid,"['virnetx', '5%', 'after', 'appeals', 'court', 'denies', 'apple', 'bid']",8,2,False,Neutral,Bullish
$SCANX: Today's most active stocks https://t.co/5bQ2f66MPH,2,6,$SCANX today's most active stocks,"['$SCANX', ""today's"", 'most', 'active', 'stocks']",5,1,False,Bullish,Neutral
Rains bring drought relief and hope to Australian farmers https://t.co/eTC9tqtevp,1,10,rains bring drought relief and hope to australian farmers,"['rains', 'bring', 'drought', 'relief', 'and', 'hope', 'to', 'australian', 'farmers']",9,2,False,Neutral,Bullish
"$ONCS $CODX $EURN - CIM, EURN among premarke losers https://t.co/vZ1VLfePly",0,10,"$ONCS $CODX $EURN - cim, eurn among premarke losers","['$ONCS', '$CODX', '$EURN', '-', 'cim', 'eurn', 'among', 'premarke', 'losers']",9,2,False,Neutral,Bearish
Aramco Up for Third Session With Eye on Passive Flows: Inside EM,1,12,aramco up for third session with eye on passive flows inside em,"['aramco', 'up', 'for', 'third', 'session', 'with', 'eye', 'on', 'passive', 'flows', 'inside', 'em']",12,2,False,Neutral,Bullish
$JSTLF $JSTTY - Just Eat shareholders told to stand down https://t.co/rDeUfBf3UT,2,11,$JSTLF $JSTTY - just eat shareholders told to stand down,"['$JSTLF', '$JSTTY', '-', 'just', 'eat', 'shareholders', 'told', 'to', 'stand', 'down']",10,0,False,Bearish,Neutral
"SocGen CEO: Confident We Can Improve Net income, Profitability in 2020",1,11,"socgen ceo confident we can improve net income, profitability in 2020","['socgen', 'ceo', 'confident', 'we', 'can', 'improve', 'net', 'income', 'profitability', 'in', '2020']",11,2,False,Neutral,Bullish
"$HD is down 10% to $213 a share since Nov. 18, just before the company beat expectations on third-quarter earnings… https://t.co/jSqHG82RCz",0,21,"$HD is down 10% to $213 a share since nov. 18, just before the company beat expectations on third-quarter earnings","['$HD', 'is', 'down', '10%', 'to', '$213', 'a', 'share', 'since', 'nov', '18', 'just', 'before', 'the', 'company', 'beat', 'expectations', 'on', 'third-quarter', 'earnings']",20,1,False,Bullish,Bearish
"$ELY - Callaway Golf EPS misses by $0.03, beats on revenue https://t.co/WWcCPLqZK5",2,12,"$ELY - callaway golf eps misses by $0.03, beats on revenue","['$ELY', '-', 'callaway', 'golf', 'eps', 'misses', 'by', '$0.03', 'beats', 'on', 'revenue']",11,1,False,Bullish,Neutral
Auto suppliers rally on tariff relief hopes,2,7,auto suppliers rally on tariff relief hopes,"['auto', 'suppliers', 'rally', 'on', 'tariff', 'relief', 'hopes']",7,1,False,Bullish,Neutral
$IBIO shor-term bottom is in. Loading zone https://t.co/Cw1b46v17J,1,8,$IBIO shor-term bottom is in. loading zone,"['$IBIO', 'shor-term', 'bottom', 'is', 'in', 'loading', 'zone']",7,2,False,Neutral,Bullish
"Hey, good news America: Investors are bailing on stocks",2,9,"hey, good news america investors are bailing on stocks","['hey', 'good', 'news', 'america', 'investors', 'are', 'bailing', 'on', 'stocks']",9,1,False,Bullish,Neutral
"Are Investors Undervaluing Lifetime Brands, Inc. (NASDAQ:LCUT) By 49%?",2,9,"are investors undervaluing lifetime brands, inc. nasdaq lcut by 49%","['are', 'investors', 'undervaluing', 'lifetime', 'brands', 'inc', 'nasdaq', 'lcut', 'by', '49%']",10,0,False,Bearish,Neutral
"$TSLA - Tesla's New Pickup Is Ugly, Sell; Also Week-End Rally Pattern Holding But Weakly. Get more updates here:… https://t.co/5w5TEy85xb",0,20,"$TSLA - tesla's new pickup is ugly, sell also week-end rally pattern holding but weakly. get more updates here","['$TSLA', '-', ""tesla's"", 'new', 'pickup', 'is', 'ugly', 'sell', 'also', 'week-end', 'rally', 'pattern', 'holding', 'but', 'weakly', 'get', 'more', 'updates', 'here']",19,2,False,Neutral,Bearish
42 arrested after protest delays Harvard-Yale football game https://t.co/DJvDBUrvv4,2,9,42 arrested after protest delays harvard-yale football game,"['42', 'arrested', 'after', 'protest', 'delays', 'harvard-yale', 'football', 'game']",8,0,False,Bearish,Neutral
Facebook under fire as political ads vanish from archive: FT https://t.co/4gXYZZSiWR https://t.co/NIfMVvmsj3,0,12,facebook under fire as political ads vanish from archive ft,"['facebook', 'under', 'fire', 'as', 'political', 'ads', 'vanish', 'from', 'archive', 'ft']",10,2,False,Neutral,Bearish
Why Passive Investing Might Be Distorting The Market (Podcast),2,9,why passive investing might be distorting the market podcast,"['why', 'passive', 'investing', 'might', 'be', 'distorting', 'the', 'market', 'podcast']",9,0,False,Bearish,Neutral
"Even After Its Latest Moves, Chesapeake Energy Stock Is Still Too Risky",0,12,"even after its latest moves, chesapeake energy stock is still too risky","['even', 'after', 'its', 'latest', 'moves', 'chesapeake', 'energy', 'stock', 'is', 'still', 'too', 'risky']",12,2,False,Neutral,Bearish
MaxLinear +1.3% as Needham leaves sidelines,1,6,maxlinear 1.3% as needham leaves sidelines,"['maxlinear', '1.3%', 'as', 'needham', 'leaves', 'sidelines']",6,0,False,Bearish,Bullish
"Just in: $TSLA lol 

https://t.co/yHyKcKaB9z",2,5,just in $TSLA lol,"['just', 'in', '$TSLA', 'lol']",4,1,False,Bullish,Neutral
The Trade Deal Will Intensify The U.S.-China Rivalry,2,8,the trade deal will intensify the u.s.-china rivalry,"['the', 'trade', 'deal', 'will', 'intensify', 'the', 'u.s.-china', 'rivalry']",8,1,False,Bullish,Neutral
Better Buy: AT&T vs. Verizon,2,5,better buy at t vs. verizon,"['better', 'buy', 'at', 't', 'vs', 'verizon']",6,1,False,Bullish,Neutral
"As vegan burgers get more popular, the beef industry is battling to clean up its image as a greenhouse-gas-emitting… https://t.co/WS1r4JQM1b",2,20,"as vegan burgers get more popular, the beef industry is battling to clean up its image as a greenhouse-gas-emitting","['as', 'vegan', 'burgers', 'get', 'more', 'popular', 'the', 'beef', 'industry', 'is', 'battling', 'to', 'clean', 'up', 'its', 'image', 'as', 'a', 'greenhouse-gas-emitting']",19,1,False,Bullish,Neutral
Newmont Goldcorp Is Poised to Outperform,1,6,newmont goldcorp is poised to outperform,"['newmont', 'goldcorp', 'is', 'poised', 'to', 'outperform']",6,2,False,Neutral,Bullish
Consumer sentiment improves quite a bit in December https://t.co/7z8UtlSz2g,1,9,consumer sentiment improves quite a bit in december,"['consumer', 'sentiment', 'improves', 'quite', 'a', 'bit', 'in', 'december']",8,2,False,Neutral,Bullish
"Fed's Mester sees 'downside risk' from coronavirus, but does not want to cut rates https://t.co/P6XtdRcjNI",2,15,"fed's mester sees 'downside risk' from coronavirus, but does not want to cut rates","[""fed's"", 'mester', 'sees', ""'downside"", ""risk'"", 'from', 'coronavirus', 'but', 'does', 'not', 'want', 'to', 'cut', 'rates']",14,0,False,Bearish,Neutral
